"artifact_id","title","original_filename","published_filename","category","origin","status","size_bytes","sha256","github_pages_url"
"1","THE ORCHESTRATOR — Drop · Sort · Grow · Search","00_THE_ORCHESTRATOR.html","01-00-the-orchestrator.html","Sort & Clean","Saved HTML Collection","READY","26130","a88633fdfca0cbc9f89a2a3362d93397de3306093ac8656759fc9873cefcdabd","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/01-00-the-orchestrator.html"
"2","A-Z COSMO LETTERS v2","a-z-cosmo-letters-v2.html","02-a-z-cosmo-letters-v2.html","Alliteration","Saved HTML Collection","READY","15586","f6529acd446e20c689defc51714d3251834e9b56368fd3a9e7ead27fed68fadc","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/02-a-z-cosmo-letters-v2.html"
"3","THE STAVE SCANNER","68d8dac0-40d2-4f88-ad13-92bacf98c5ce.html","03-the-stave-scanner.html","Rhyme & Writing","Saved HTML Collection","READY","30262","94845ec7ce0077fa3b47580f05aaf7c92ad5f7440cbd86c94756c48461921c85","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/03-the-stave-scanner.html"
"4","THE CONSONANT SEARCHER","THE_CONSONANT_SEARCHER.html","04-the-consonant-searcher.html","Rhyme & Writing","Saved HTML Collection","READY","984108","6cbe866825c7137bdacfe745ce9588ce056b37538c47968d45cbc560c0c4bb69","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/04-the-consonant-searcher.html"
"5","All Caps Trim Processor — TXT MD CSV PDF","all_caps_trim_pdf_processor_ipad.html","05-all-caps-trim-pdf-processor-ipad.html","Sort & Clean","Saved HTML Collection","CANONICAL · COPIES PRESERVED","13450","7a5a53363a09cfadd9c1e9403578e8c625a8507aa9526039639c2929eed382b2","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/05-all-caps-trim-pdf-processor-ipad.html"
"6","All Caps Trim Processor — TXT MD CSV PDF","all_caps_trim_pdf_processor_ipad(1).html","06-all-caps-trim-pdf-processor-ipad-copy-1.html","Sort & Clean","Saved HTML Collection","IDENTICAL COPY · PRESERVED","13450","7a5a53363a09cfadd9c1e9403578e8c625a8507aa9526039639c2929eed382b2","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/06-all-caps-trim-pdf-processor-ipad-copy-1.html"
"7","Alliteration Machine — Windows Offline V1","alliteration_machine_windows_v1.html","07-alliteration-machine-windows-v1.html","Alliteration","Saved HTML Collection","READY","21460","063ee8ac02a0422eae589c184ca6d5b5144712b6848b67fdf7032a3318fb710c","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/07-alliteration-machine-windows-v1.html"
"8","Alliteration Machine — Windows Offline V2","alliteration_machine_windows_v2.html","08-alliteration-machine-windows-v2.html","Alliteration","Saved HTML Collection","READY","24064","23afabca01032cd43706560e6eda07ea00b1e48d65a856095f602299f79773c6","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/08-alliteration-machine-windows-v2.html"
"9","Alliteration Machine V3 — Graphic + Phonetic Verifier","alliteration_machine_windows_v3_phonetic.html","09-alliteration-machine-windows-v3-phonetic.html","Alliteration","Saved HTML Collection","READY","30609","523ea8f244a506aa340f14f6ad6f6771c36a105d172e0595ad72d829f06a4aba","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/09-alliteration-machine-windows-v3-phonetic.html"
"10","Auto Chunk Engine Ultra Sorter","auto_chunk_engine_ultra_sorter.html","10-auto-chunk-engine-ultra-sorter.html","Auto Chunk","Saved HTML Collection","CANONICAL · COPIES PRESERVED","26653","b844f0242081e0aeffc406a5219ec3aebcaf8affa4f93575fa823688db5e70f9","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/10-auto-chunk-engine-ultra-sorter.html"
"11","Auto Chunk Engine Ultra Sorter","auto_chunk_engine_ultra_sorter(1).html","11-auto-chunk-engine-ultra-sorter-copy-1.html","Auto Chunk","Saved HTML Collection","IDENTICAL COPY · PRESERVED","26653","b844f0242081e0aeffc406a5219ec3aebcaf8affa4f93575fa823688db5e70f9","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/11-auto-chunk-engine-ultra-sorter-copy-1.html"
"12","Auto Chunk Engine Ultra Sorter","auto_chunk_engine_ultra_sorter(2).html","12-auto-chunk-engine-ultra-sorter-copy-2.html","Auto Chunk","Saved HTML Collection","IDENTICAL COPY · PRESERVED","26653","b844f0242081e0aeffc406a5219ec3aebcaf8affa4f93575fa823688db5e70f9","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/12-auto-chunk-engine-ultra-sorter-copy-2.html"
